Hitrost v stanju vodenja: (0-2.5)
Faktor za dovoljeno velikost črede: (0.3333333-1)
Razdalja za zbiranje: (1-4)
Razdalja za zaznavo ovc na poti: (0-10)
Razdalja za upočasnitve v bližini ovc: (0-5)
Razdalja za upočasnitev v bližini cilja: (0-3)
Relativna moč šuma: (0.01-0.5)
Trajanje nakljucnega premika: (0-5)
Fiksen čas do naključnega premika: (10-90)
Razpon naključnega dodatnega časa: (0-30)
Pomen oddaljenosti pobegle ovce od črede: (-1 - 3)
Pomen oddaljenosti pobegle ovce od ovčarja: (-1 - 3)
Ovčar bližje cilju kot čreda: (-10 - 40)
Največji delež ignoriranih ovc: (0 - 0.5)
Vpliv števila ovčarjev na delež ignoriranih ovc: (0 - 3)
Odpor pred pred stanjem bližje cilju kot točka: (0 - 5)
Udobna razdalja med ovčarji: (5 - 40)
Razdalja za upočasnitev v bližini točke: (0 - 30)
Odpor pred pred stanjem bližje čredi kot točka: (0 - 2)
Zaokroževanje blizu ovc: (0 - 1.047198)
Pomen smeri drugih ovčarjev: (-1 - 1)

Ginelli 5 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 10 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 25 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 50 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 75 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 100 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 5 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 10 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 25 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 50 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 75 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 100 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 5 Voronoi 3 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 10 Voronoi 3 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 25 Voronoi 3 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Ginelli 5 AI1 1 0.3643;0.1628;0.6704;0.9363;0.5422;0.1433;0.154;0.0081;0.1864;0.84;0.6732;0.2121;0.1409;0.4488;0.6813;0.0573;0.6328;0.8231;0.4818;0.6578;0.6999;
Ginelli 10 AI1 1 0.4737;0.4736;0.9771;0.5475;0.287;0.5255;0.4314;0.114;0.7941;0.0442;0.7357;0.0285;0.1757;0.0811;0.8392;0.4428;0.4565;0.7066;0.0044;0.139;0.5086;
Ginelli 25 AI1 1 0.682;0.5293;0.9831;0.5511;0.6101;0.7493;0.2287;0.0251;0.7061;0.354;0.7531;0.5535;0.1405;0.5003;0.6729;0.622;0.0459;0.0585;0.4071;0.7401;0.6675;
Ginelli 50 AI1 1 0.797;0.5983;0.8401;0.167;0.5237;0.0569;0.0948;0.022;0.3164;0.9804;0.5999;0.1641;0.1382;0.0604;0.3649;0.9355;0.6478;0.2805;0.9172;0.7062;0.2397;
Ginelli 75 AI1 1 0.7532;0.3322;0.835;0.2163;0.5365;0.0059;0.524;0.0016;0.935;0.3112;0.6023;0.0558;0.0344;0.6345;0.8652;0.9275;0.3953;0.2695;0.8731;0.3794;0.544;
Ginelli 100 AI1 1 0.5324;0.6432;0.7604;0.569;0.1703;0.9452;0.0213;0.3692;0.5872;0.8005;0.6575;0.7519;0.0158;0.3898;0.435;0.4671;0.0317;0.7944;0.0496;0.482;0.7101;
Ginelli 5 AI1 2 0.8864;0.6056;0.7239;0.6642;0.3412;0.2957;0.2618;0.0817;0.5442;0.0994;0.4921;0.0263;0.0546;0.9537;0.5359;0.8741;0.7257;0.7602;0.734;0.4347;0.812;
Ginelli 10 AI1 2 0.8412;0.4041;0.709;0.8311;0.2387;0.1959;0.4376;0.1074;0.5879;0.4709;0.4267;0.0128;0.0788;0.4902;0.7896;0.7083;0.0494;0.5626;0.9842;0.0502;0.8754;
Ginelli 25 AI1 2 0.8041;0.9291;0.7097;0.6314;0.4272;0.0738;0.1989;0.6798;0.96;0.3446;0.2829;0.5211;0.0557;0.225;0.6925;0.6907;0.015;0.9398;0.8141;0.3823;0.3613;
Ginelli 50 AI1 2 0.7458;0.8684;0.8539;0.7661;0.5407;0.6313;0.247;0.2863;0.9625;0.7059;0.4765;0.7905;0.0525;0.3979;0.6245;0.7253;0.0034;0.788;0.6874;0.3939;0.1811;
Ginelli 75 AI1 2 0.773;0.8341;0.7384;0.9337;0.638;0.3066;0.1271;0.0833;0.588;0.75;0.3386;0.6644;0.0043;0.8195;0.159;0.9498;0.3249;0.1736;0.8109;0.13;0.4602;
Ginelli 100 AI1 2 0.5888;0.2376;0.8968;0.3401;0.227;0.6221;0.002;0.3795;0.8233;0.8294;0.3098;0.4965;0.0411;0.6102;0.7699;0.7441;0.392;0.1653;0.3299;0.1614;0.4125;
Ginelli 5 AI1 3 0.6132;0.6311;0.6618;0.6481;0.0261;0.9818;0.1127;0.1173;0.3445;0.3258;0.5613;0.3585;0.0208;0.8061;0.9055;0.3903;0.0265;0.3623;0.9982;0.2433;0.356;
Ginelli 10 AI1 3 0.7451;0.1271;0.9253;0.6601;0.4717;0.6461;0.021;0.566;0.5808;0.3545;0.2847;0.367;0.1292;0.0856;0.8903;0.9716;0.6782;0.0143;0.1123;0.1063;0.0705;
Stroembom 5 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 10 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 25 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 50 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 75 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 100 Voronoi 1 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 5 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 10 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 25 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 50 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 75 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 100 Voronoi 2 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 5 Voronoi 3 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 10 Voronoi 3 0.5333;0.5;0.7778;0.6667;0.6667;0.5556;0.5918;0.6;0.625;0.6667;0.75;0.5;0.24;0.3;0.6667;0.4;0.4286;0.4;0.475;0.5;0.55;
Stroembom 5 AI1 1 0.9849;0.9714;0.8723;0.2763;0.4746;0.2011;0.1649;0.0692;0.3158;0.3622;0.6018;0.8111;0.1871;0.0244;0.4868;0.2079;0.9959;0.2195;0.2988;0.5612;0.4548;
Stroembom 10 AI1 1 0.8709;0.5468;0.7486;0.3398;0.3559;0.3024;0.184;0.3836;0.2992;0.2832;0.7336;0.2673;0.0587;0.4105;0.5105;0.562;0.0303;0.6609;0.9649;0.7463;0.9061;
