	25Ginelli ovc
	3 AI1 ovcarjev
Generacija 1, Fitness 0, Gen ;0.6158;0.7367;0.8736;0.1336;0.3988;0.2571;0.2777;0.8895;0.9757;0.7893;0.8744;0.3322;0.7241;0.7517;0.3907;0.1163;0.6957;0.5376;0.5092;0.2899;0.2258

Generacija 1, Fitness 0, Gen ;0.3601;0.4794;0.1717;0.2371;0.464;0.9751;0.0835;0.1897;0.8231;0.3166;0.7595;0.6665;0.5779;0.5208;0.1059;0.2312;0.9104;0.4288;0.8966;0.6294;0.7356

Generacija 1, Fitness 0, Gen ;0.8146;0.1734;0.3482;0.9254;0.1226;0.8315;0.8595;0.4882;0.4247;0.8688;0.3982;0.7962;0.8931;0.5826;0.5064;0.7361;0.8453;0.0423;0.4446;0.9398;0.1205

Generacija 1, Fitness 0, Gen ;0.2553;0.4988;0.3162;0.89;0.3435;0.4031;0.6768;0.6377;0.6619;0.8605;0.3246;0.0273;0.4366;0.0423;0.1591;0.5521;0.2974;0.9789;0.9133;0.3027;0.0585

Generacija 1, Fitness 0, Gen ;0.8248;0.5301;0.4805;0.8596;0.7762;0.3689;0.1706;0.4238;0.5361;0.2905;0.5663;0.1669;0.3482;0.3626;0.7412;0.433;0.875;0.48;0.6376;0.4617;0.0294

Generacija 1, Fitness 0, Gen ;0.6921;0.9983;0.0463;0.229;0.2734;0.2521;0.3765;0.8393;0.4159;0.8772;0.1103;0.7195;0.0388;0.1194;0.7994;0.6815;0.5206;0.3857;0.727;0.9674;0.0257

Generacija 1, Fitness 0, Gen ;0.9264;0.6055;0.3912;0.1953;0.4425;0.1108;0.5464;0.7651;0.6008;0.1801;0.3997;0.5544;0.3734;0.4158;0.1937;0.5163;0.8432;0.0933;0.0443;0.8327;0.5914

Generacija 1, Fitness 0, Gen ;0.3044;0.3106;0.5534;0.2702;0.0025;0.6357;0.7195;0.2449;0.9832;0.9201;0.4969;0.9104;0.4651;0.3697;0.9252;0.3825;0.6474;0.9741;0.4529;0.7513;0.6843

