	5Ginelli ovc
	1 AI1 ovcarjev
Generacija 1, Fitness 0,005413994, Gen ;0,9287;0,1265;0,6038;0,6629;0,6591;0,421;0,361;0,8179;0,2296;0,567;0,531;0,0234;0,1204;0,1505;0,5779;0,7281;0,2469;0,3597;0,1516;0,7417;0,1853

Generacija 1, Fitness 0,005184265, Gen ;0,5858;0,7854;0,2726;0,547;0,3691;0,7914;0,0717;0,135;0,3727;0,2899;0,7166;0,9759;0,9688;0,798;0,8607;0,7926;0,8243;0,0367;0,8357;0,4978;0,2257

Generacija 1, Fitness 0,006821959, Gen ;0,4962;0,995;0,8952;0,2554;0,7695;0,2609;0,6887;0,2546;0,1284;0,6093;0,4777;0,4214;0,0155;0,1094;0,0596;0,0597;0,1903;0,4425;0,6344;0,6204;0,3945

Generacija 1, Fitness 0,006610169, Gen ;0,2873;0,9739;0,6423;0,3957;0,2914;0,0597;0,2969;0,679;0,6798;0,7532;0,0333;0,5054;0,6055;0,9308;0,5953;0,2057;0,0445;0,9179;0,7527;0,3852;0,0583

Generacija 1, Fitness 0,0031438, Gen ;0,2215;0,1047;0,9753;0,925;0,8916;0,606;0,2963;0,1843;0,3288;0,4485;0,6648;0,2451;0,1096;0,8708;0,3061;0,6513;0,6539;0,5537;0,3802;0,4813;0,3526

Generacija 1, Fitness 0,002661709, Gen ;0,523;0,003;0,7157;0,848;0,8837;0,1532;0,0555;0,1077;0,5234;0,4371;0,6633;0,4788;0,5463;0,2045;0,047;0,4998;0,874;0,5583;0,0809;0,8166;0,8929

Generacija 1, Fitness 0,007066473, Gen ;0,2018;0,9018;0,9779;0,1001;0,6842;0,7374;0,2345;0,3156;0,6928;0,4801;0,845;0,3211;0,5684;0,8487;0,7913;0,5614;0,4421;0,6395;0,8793;0,4113;0,6605

Generacija 1, Fitness 0,004884652, Gen ;0,1468;0,0913;0,8673;0,6106;0,7007;0,9562;0,7477;0,609;0,9655;0,4525;0,3635;0,7064;0,48;0,8312;0,4058;0,9166;0,2761;0,3342;0,8475;0,074;0,6413

Generacija 1, Fitness 0,002813784, Gen ;0,3175;0,4587;0,1159;0,7609;0,8659;0,7702;0,9658;0,5133;0,1736;0,161;0,2687;0,7632;0,9552;0,9795;0,143;0,8433;0,1082;0,6656;0,608;0,7502;0,7294

Generacija 1, Fitness 0,006777602, Gen ;0,6198;0,1485;0,1453;0,6546;0,1237;0,2434;0,0221;0,9236;0,2448;0,7159;0,3021;0,1769;0,9913;0,3056;0,9893;0,2753;0,8356;0,2301;0,9288;0,9049;0,653

Generacija 1, Fitness 0,004794077, Gen ;0,3243;0,8936;0,4055;0,1438;0,862;0,4738;0,5909;0,993;0,3531;0,775;0,2149;0,6952;0,622;0,9384;0,4941;0,7644;0,4847;0,7467;0,3785;0,9232;0,444

Generacija 1, Fitness 0,003894068, Gen ;0,1047;0,2057;0,5111;0,4201;0,1949;0,2117;0,622;0,7355;0,1393;0,8668;0,5247;0,1422;0,2792;0,2637;0,83;0,3053;0,1295;0,5743;0,1478;0,7298;0,84

Generacija 1, Fitness 0,005168721, Gen ;0,7882;0,3306;0,8933;0,1151;0,3633;0,5895;0,7813;0,1789;0,2607;0,0102;0,8288;0,3487;0,524;0,8133;0,8448;0,0707;0,2795;0,7855;0,4316;0,9178;0,7904

Generacija 1, Fitness 0,007463156, Gen ;0,9734;0,7479;0,4194;0,6252;0,64;0,9911;0,1273;0,4726;0,6182;0,4159;0,8003;0,2118;0,1635;0,6647;0,9675;0,7921;0,2826;0,5298;0,6417;0,8356;0,5094

Generacija 1, Fitness 0,004901245, Gen ;0,4319;0,9672;0,1646;0,769;0,4582;0,4604;0,9578;0,0946;0,5372;0,8573;0,106;0,1501;0,0074;0,5215;0,0205;0,7454;0,8808;0,1265;0,0134;0,858;0,399

Generacija 1, Fitness 0,004013859, Gen ;0,3475;0,2062;0,1676;0,8965;0,4911;0,0237;0,1406;0,9225;0,0522;0,029;0,3381;0,6332;0,0499;0,8533;0,4189;0,3321;0,121;0,7461;0,1509;0,5417;0,882

Generacija 1, Fitness 0,00550527, Gen ;0,2064;0,5421;0,6635;0,257;0,8449;0,8095;0,5198;0,6813;0,7197;0,1452;0,8229;0,9356;0,4239;0,863;0,6734;0,2889;0,1374;0,6754;0,7265;0,8735;0,4885

Generacija 1, Fitness 0,005560759, Gen ;0,0963;0,3063;0,8661;0,6946;0,3733;0,0761;0,2727;0,6251;0,7015;0,9246;0,1353;0,6551;0,9889;0,4695;0,034;0,2888;0,2822;0,2698;0,8296;0,6132;0,7489

Generacija 1, Fitness 0,004349192, Gen ;0,713;0,2229;0,6241;0,7286;0,2561;0,5282;0,8715;0,2604;0,1937;0,0683;0,6841;0,8886;0,3932;0,6456;0,7893;0,7591;0,5012;0,3407;0,7757;0,6033;0,1073

Generacija 1, Fitness 0,005735212, Gen ;0,3644;0,1392;0,0291;0,0812;0,3519;0,4462;0,9802;0,9791;0,3962;0,4031;0,3063;0,12;0,1322;0,2229;0,0181;0,7086;0,5613;0,823;0,9587;0,8079;0,6221

Generacija 1, Fitness 0,003866957, Gen ;0,5602;0,9473;0,5207;0,0862;0,4675;0,8041;0,898;0,9217;0,5638;0,9578;0,4893;0,289;0,5448;0,8087;0,6859;0,9055;0,7516;0,9808;0,1373;0,6311;0,1556

Generacija 1, Fitness 0,003329757, Gen ;0,7814;0,928;0,216;0,8969;0,4595;0,8002;0,4543;0,1026;0,7392;0,8604;0,8663;0,5698;0,169;0,52;0,0886;0,8681;0,9099;0,6979;0,7686;0,3912;0,3501

Generacija 1, Fitness 0,004902042, Gen ;0,7325;0,6474;0,8741;0,0368;0,6868;0,8786;0,8004;0,7254;0,4907;0,9316;0,8931;0,4672;0,7335;0,1563;0,0619;0,2975;0,1197;0,9314;0,5082;0,8267;0,7489

Generacija 1, Fitness 0,005609047, Gen ;0,1055;0,6112;0,7394;0,6594;0,3452;0,9347;0,8372;0,2006;0,0143;0,3629;0,2176;0,0898;0,6306;0,3009;0,9965;0,9154;0,5192;0,6876;0,0327;0,8807;0,2958

